Indicator,Release Date
CPI,2023-01-18
CPI,2023-02-15
CPI,2023-03-22
CPI,2023-04-19
CPI,2023-05-24
CPI,2023-06-21
CPI,2023-07-19
CPI,2023-08-16
CPI,2023-09-20
CPI,2023-10-18
CPI,2023-11-22
CPI,2023-12-20
CPI,2022-01-19
CPI,2022-02-16
CPI,2022-03-23
CPI,2022-04-20
CPI,2022-05-18
CPI,2022-06-22
CPI,2022-07-20
CPI,2022-08-17
CPI,2022-09-21
CPI,2022-10-19
CPI,2022-11-23
CPI,2022-12-21
CPI,2021-01-20
CPI,2021-02-17
CPI,2021-03-24
CPI,2021-04-21
CPI,2021-05-19
CPI,2021-06-23
CPI,2021-07-21
CPI,2021-08-18
CPI,2021-09-22
CPI,2021-10-20
CPI,2021-11-17
CPI,2021-12-15
CPI,2020-01-22
CPI,2020-02-19
CPI,2020-03-25
CPI,2020-04-22
CPI,2020-05-20
CPI,2020-06-17
CPI,2020-07-22
CPI,2020-08-19
CPI,2020-09-23
CPI,2020-10-21
CPI,2020-11-18
CPI,2020-12-16
CPI,2019-01-16
CPI,2019-02-13
CPI,2019-03-20
CPI,2019-04-17
CPI,2019-05-22
CPI,2019-06-19
CPI,2019-07-17
CPI,2019-08-21
CPI,2019-09-18
CPI,2019-10-16
CPI,2019-11-20
CPI,2019-12-18
CPI,2018-01-17
CPI,2018-02-14
CPI,2018-03-21
CPI,2018-04-18
CPI,2018-05-23
CPI,2018-06-20
CPI,2018-07-18
CPI,2018-08-15
CPI,2018-09-19
CPI,2018-10-17
CPI,2018-11-14
CPI,2018-12-19
CPI,2017-01-18
CPI,2017-02-15
CPI,2017-03-22
CPI,2017-04-19
CPI,2017-05-17
CPI,2017-06-21
CPI,2017-07-19
CPI,2017-08-16
CPI,2017-09-20
CPI,2017-10-18
CPI,2017-11-15
CPI,2017-12-13
CPI,2016-01-20
CPI,2016-02-17
CPI,2016-03-23
CPI,2016-04-20
CPI,2016-05-18
CPI,2016-06-22
CPI,2016-07-20
CPI,2016-08-17
CPI,2016-09-21
CPI,2016-10-19
CPI,2016-11-16
CPI,2016-12-14
CPI,2015-01-16
CPI,2015-02-13
CPI,2015-03-24
CPI,2015-04-17
CPI,2015-05-22
CPI,2015-06-19
CPI,2015-07-17
CPI,2015-08-21
CPI,2015-09-18
CPI,2015-10-16
CPI,2015-11-18
CPI,2015-12-16
CPI,2014-01-16
CPI,2014-02-13
CPI,2014-03-20
CPI,2014-04-17
CPI,2014-05-22
CPI,2014-06-19
CPI,2014-07-17
CPI,2014-08-14
CPI,2014-09-18
CPI,2014-10-16
CPI,2014-11-20
CPI,2014-12-18
