Indicator,Release Date
Unemployment Rate,2023-01-17
Unemployment Rate,2023-02-14
Unemployment Rate,2023-03-14
Unemployment Rate,2023-04-18
Unemployment Rate,2023-05-16
Unemployment Rate,2023-06-13
Unemployment Rate,2023-07-11
Unemployment Rate,2023-08-15
Unemployment Rate,2023-09-12
Unemployment Rate,2023-10-17
Unemployment Rate,2023-11-14
Unemployment Rate,2023-12-12
Unemployment Rate,2022-01-18
Unemployment Rate,2022-02-15
Unemployment Rate,2022-03-15
Unemployment Rate,2022-04-12
Unemployment Rate,2022-05-17
Unemployment Rate,2022-06-14
Unemployment Rate,2022-07-12
Unemployment Rate,2022-08-16
Unemployment Rate,2022-09-13
Unemployment Rate,2022-10-18
Unemployment Rate,2022-11-15
Unemployment Rate,2022-12-13
Unemployment Rate,2021-01-26
Unemployment Rate,2021-02-23
Unemployment Rate,2021-03-23
Unemployment Rate,2021-04-20
Unemployment Rate,2021-05-25
Unemployment Rate,2021-06-22
Unemployment Rate,2021-07-20
Unemployment Rate,2021-08-24
Unemployment Rate,2021-09-21
Unemployment Rate,2021-10-19
Unemployment Rate,2021-11-23
Unemployment Rate,2021-12-21
Unemployment Rate,2020-01-21
Unemployment Rate,2020-02-18
Unemployment Rate,2020-03-17
Unemployment Rate,2020-04-21
Unemployment Rate,2020-05-19
Unemployment Rate,2020-06-16
Unemployment Rate,2020-07-14
Unemployment Rate,2020-08-11
Unemployment Rate,2020-09-15
Unemployment Rate,2020-10-13
Unemployment Rate,2020-11-10
Unemployment Rate,2020-12-15
Unemployment Rate,2019-01-22
Unemployment Rate,2019-02-19
Unemployment Rate,2019-03-19
Unemployment Rate,2019-04-16
Unemployment Rate,2019-05-14
Unemployment Rate,2019-06-11
Unemployment Rate,2019-07-16
Unemployment Rate,2019-08-13
Unemployment Rate,2019-09-17
Unemployment Rate,2019-10-15
Unemployment Rate,2019-11-12
Unemployment Rate,2019-12-17
Unemployment Rate,2018-01-23
Unemployment Rate,2018-02-21
Unemployment Rate,2018-03-21
Unemployment Rate,2018-04-17
Unemployment Rate,2018-05-15
Unemployment Rate,2018-06-12
Unemployment Rate,2018-07-17
Unemployment Rate,2018-08-14
Unemployment Rate,2018-09-11
Unemployment Rate,2018-10-16
Unemployment Rate,2018-11-13
Unemployment Rate,2018-12-18
Unemployment Rate,2017-01-24
Unemployment Rate,2017-02-21
Unemployment Rate,2017-03-21
Unemployment Rate,2017-04-18
Unemployment Rate,2017-05-16
Unemployment Rate,2017-06-13
Unemployment Rate,2017-07-18
Unemployment Rate,2017-08-15
Unemployment Rate,2017-09-12
Unemployment Rate,2017-10-17
Unemployment Rate,2017-11-14
Unemployment Rate,2017-12-19
Unemployment Rate,2016-01-19
Unemployment Rate,2016-02-16
Unemployment Rate,2016-03-15
Unemployment Rate,2016-04-19
Unemployment Rate,2016-05-17
Unemployment Rate,2016-06-14
Unemployment Rate,2016-07-12
Unemployment Rate,2016-08-16
Unemployment Rate,2016-09-13
Unemployment Rate,2016-10-18
Unemployment Rate,2016-11-15
Unemployment Rate,2016-12-13
Unemployment Rate,2015-01-21
Unemployment Rate,2015-02-18
Unemployment Rate,2015-03-18
Unemployment Rate,2015-04-22
Unemployment Rate,2015-05-20
Unemployment Rate,2015-06-17
Unemployment Rate,2015-07-15
Unemployment Rate,2015-08-19
Unemployment Rate,2015-09-16
Unemployment Rate,2015-10-14
Unemployment Rate,2015-11-18
Unemployment Rate,2015-12-16
Unemployment Rate,2014-01-22
Unemployment Rate,2014-02-19
Unemployment Rate,2014-03-19
Unemployment Rate,2014-04-16
Unemployment Rate,2014-05-21
Unemployment Rate,2014-06-18
Unemployment Rate,2014-07-16
Unemployment Rate,2014-08-13
Unemployment Rate,2014-09-17
Unemployment Rate,2014-10-15
Unemployment Rate,2014-11-12
Unemployment Rate,2014-12-17
